semester,gender,friends_time,faculty_time,attendance,attentiveness,study_time,social_time,previous_score,library_time,group_name,Decision
2,male,often,sometimes,>85,High,1 to 4,<1,>8,1 to 4,1,>8
6,female,sometimes,often,>85,High,>4,1 to 4,>8,>4,1,>8
8,male,never,never,<75,Low,<1,>4,6 to 8,1 to 4,1,<6
8,male,often,sometimes,>85,Moderate,1 to 4,1 to 4,6 to 8,<1,1,6 to 8
3,female,often,often,>85,High,>4,<1,>8,1 to 4,1,>8
6,female,sometimes,often,>85,High,>4,<1,>8,>4,1,>8
8,male,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,2,6 to 8
1,female,sometimes,sometimes,<75,Low,<1,>4,6 to 8,<1,2,<6
4,male,often,often,>85,High,>4,1 to 4,>8,<1,2,>8
5,female,often,never,85 to 75,Moderate,<1,1 to 4,6 to 8,<1,2,6 to 8
8,male,sometimes,often,85 to 75,High,>4,<1,6 to 8,>4,2,>8
5,male,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,2,6 to 8
3,male,often,never,<75,Low,<1,>4,6 to 8,<1,3,<6
6,female,never,often,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,3,6 to 8
4,male,sometimes,often,85 to 75,High,>4,1 to 4,>8,1 to 4,3,6 to 8
7,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,3,6 to 8
3,male,often,never,>85,Moderate,1 to 4,<1,6 to 8,>4,3,>8
1,female,often,sometimes,>85,Moderate,1 to 4,1 to 4,6 to 8,>4,3,6 to 8
2,male,often,sometimes,85 to 75,Low,1 to 4,1 to 4,6 to 8,1 to 4,4,6 to 8
1,male,sometimes,often,>85,High,>4,1 to 4,>8,>4,4,>8
7,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,>8,>4,4,>8
6,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,>8,1 to 4,4,6 to 8
7,male,often,often,>85,High,>4,<1,6 to 8,1 to 4,4,6 to 8
6,female,often,sometimes,85 to 75,Moderate,1 to 4,1 to 4,>8,<1,4,>8
1,male,sometimes,sometimes,85 to 75,High,1 to 4,1 to 4,6 to 8,1 to 4,5,>8
5,female,sometimes,sometimes,>85,High,<1,<1,6 to 8,<1,5,6 to 8
7,female,often,never,85 to 75,Moderate,<1,>4,<6,<1,5,6 to 8
2,male,often,sometimes,>85,High,1 to 4,<1,>8,1 to 4,5,>8
6,female,sometimes,often,>85,High,>4,1 to 4,>8,>4,5,>8
8,male,never,never,<75,Low,<1,>4,6 to 8,1 to 4,5,6 to 8
8,male,often,sometimes,>85,Moderate,1 to 4,1 to 4,6 to 8,<1,5,6 to 8
3,female,often,often,>85,High,>4,<1,>8,1 to 4,6,>8
6,female,sometimes,often,>85,High,>4,<1,>8,>4,6,>8
8,male,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,6,6 to 8
1,female,sometimes,sometimes,<75,Low,<1,>4,6 to 8,<1,6,6 to 8
4,male,often,often,>85,High,>4,1 to 4,>8,<1,6,>8
5,female,often,never,85 to 75,Moderate,<1,1 to 4,6 to 8,<1,6,6 to 8
8,male,sometimes,often,85 to 75,High,>4,<1,6 to 8,>4,6,>8
5,male,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,7,6 to 8
3,male,often,never,<75,Low,<1,>4,6 to 8,<1,8,<6
6,female,never,often,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,7,6 to 8
4,male,sometimes,often,85 to 75,High,>4,1 to 4,>8,1 to 4,7,6 to 8
7,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,6 to 8,1 to 4,7,6 to 8
3,male,often,never,>85,Moderate,1 to 4,<1,6 to 8,>4,8,<6
1,female,often,sometimes,>85,Moderate,1 to 4,1 to 4,6 to 8,>4,7,6 to 8
2,male,often,sometimes,85 to 75,Low,1 to 4,1 to 4,6 to 8,1 to 4,8,6 to 8
1,male,sometimes,often,>85,High,>4,1 to 4,>8,>4,7,>8
7,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,>8,>4,8,>8
6,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,1 to 4,>8,1 to 4,8,6 to 8
7,male,often,often,>85,High,>4,<1,6 to 8,1 to 4,8,6 to 8
6,female,often,sometimes,85 to 75,Moderate,1 to 4,1 to 4,>8,<1,3,>8
1,male,sometimes,sometimes,85 to 75,High,1 to 4,1 to 4,6 to 8,1 to 4,9,>8
5,female,sometimes,sometimes,>85,High,<1,<1,6 to 8,<1,10,6 to 8
7,female,often,never,85 to 75,Moderate,<1,>4,<6,<1,9,<6
5,female,often,sometimes,>85,High,>4,>4,<6,<1,10,6 to 8
3,female,sometimes,never,>85,High,>4,<1,<6,<1,9,6 to 8
2,male,never,sometimes,>85,Moderate,>4,1 to 4,<6,>4,9,<6
7,male,sometimes,sometimes,>85,High,1 to 4,<1,<6,1 to 4,10,6 to 8
8,female,sometimes,never,>85,High,>4,<1,>8,>4,9,<6
6,male,sometimes,sometimes,>85,High,>4,<1,>8,1 to 4,9,<6
1,male,often,sometimes,>85,High,<1,<1,>8,1 to 4,11,>8
1,male,never,often,>85,High,>4,<1,>8,<1,11,>8
2,female,sometimes,sometimes,>85,High,>4,>4,>8,1 to 4,11,>8
4,male,sometimes,sometimes,>85,High,>4,<1,>8,1 to 4,11,>8
7,female,sometimes,sometimes,85 to 75,High,1 to 4,1 to 4,>8,>4,12,>8
4,male,sometimes,often,>85,High,1 to 4,<1,>8,1 to 4,13,>8
7,female,sometimes,never,>85,High,1 to 4,<1,>8,1 to 4,14,>8
6,male,sometimes,sometimes,85 to 75,High,1 to 4,<1,>8,>4,11,>8
4,female,often,often,>85,High,1 to 4,<1,>8,1 to 4,12,>8
3,female,never,sometimes,>85,Low,>4,<1,>8,1 to 4,13,>8
